M,N,"$\alpha$ : 0.50",0.2,0.1,0.05,0.02,0.01,0.005,0.002,0.001
3,2,3,4,,,,,,,
3,3,2.667,4.667,,6,,,,,
3,4,2,4.5,6,6.5,,,8,,
3,5,2.8,3.6,5.2,6.4,,8.4,,,10
3,6,2.33,4,5.33,7,8.33,9,,10.33,12
3,7,2,3.714,5.429,7.143,8,8.857,10.286,11.143,12.286
3,8,2.25,4,5.25,6.25,7.75,9,9.75,12,12.25
3,9,2,3.556,5.556,6.222,8,9.556,10.667,11.556,12.667
3,10,1.8,3.8,5,6.2,7.8,9.6,10.4,12.2,12.6
3,11,1.636,3.818,4.909,6.545,7.818,9.455,10.364,11.636,13.273
3,12,1.5,3.5,5.167,6.167,8,9.5,10.167,12.167,12.5
3,13,1.846,3.846,4.769,6,8,9.385,10.308,11.538,12.923
3,14,1.714,3.571,5.143,6.143,8.143,9,10.429,12,13.286
3,15,1.733,3.6,4.933,6.4,8.133,8.933,10.12,12.133,12.933
4,2,3.6,5.4,,6,,,,,
4,3,3.418,5.4,6.6,7.4,8.2,9.08,,9,
4,4,3,4.8,6.3,7.8,8.4,9.6,,10.2,11.1
4,5,3,5.16,6.36,7.8,9.24,9.96,10.92,11.64,12.6
4,6,3,4.8,6.4,7.6,9.4,10.2,11.4,12.2,12.8
4,7,2.829,4.886,6.429,7.8,9.343,10.371,11.4,12.771,13.8
4,8,2.55,4.8,6.3,7.65,9.45,10.35,11.85,12.9,13.8
4,9,,,6.467,7.8,9.133,10.867,12.067,,14.467
4,10,,,6.36,7.8,9.12,10.8,12,,14.64
4,11,,,6.382,7.909,9.327,11.073,12.273,,14.891
4,12,,,6.4,7.9,9.2,11.1,12.3,,15
4,13,,,6.415,7.965,7.369,11.123,12.323,,15.277
4,14,,,6.343,7.386,9.343,11.143,12.514,,15.257
4,15,,,6.44,8.04,9.4,11.24,12.52,,15.4
5,2,,,7.2,7.6,8,8,,,
5,3,,,7.467,8.533,9.6,10.133,10.667,,11.467
5,4,,,7.6,8.8,9.5,11.2,12,,13.2
5,5,,,7.68,8.96,10.24,11.68,12.48,,14.4
5,6,,,7.733,9.067,10.4,11.867,13.067,,15.2
5,7,,,7.771,9.143,10.514,12.114,13.257,,15.657
5,8,,,7.8,9.3,10.6,12.3,13.5,,16
5,9,,,7.733,9.244,10.667,12.444,13.689,,16.356
5,10,,,7.76,9.28,10.72,12.48,13.48,,16.48
6,2,,,8.286,9.143,9.429,9.714,10,,
6,3,,,8.714,9.857,10.81,11.762,12.524,,13.286
6,4,,,9,10.286,11.429,12.714,13.571,,15.286
6,5,,,9,10.486,11.743,13.229,14.257,,16.429
6,6,,,9.048,10.571,12,13.619,14.762,,17.048
6,7,,,9.122,10.674,12.0161,13.857,15,,17.612
6,8,,,9.143,10.714,12.214,14,15.286,,18
6,9,,,9.127,10.778,12.302,14.143,15.476,,18.27
6,10,,,9.143,10.8,12.343,14.299,15.6,,18.514
